"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR5425 - AUTOMÓVEL MÉDIO 70% - R$ 70.000,00","R$ 70.000,00","106","R$ 1.334,06","21 - PLANO EXCLUSIVO 70%","61 - PARCELA GRADUAL",""
"CR5425 - AUTOMÓVEL MÉDIO 70% - R$ 70.000,00","R$ 70.000,00","106","R$ 640,64","21 - PLANO EXCLUSIVO 70%","71 - PARCELA LINEAR",""
"CR5603 - AUTOMÓVEL MÉDIO 50% - R$ 70.000,00","R$ 70.000,00","106","R$ 508,62","40 - PLANO EXCLUSIVO 50%","71 - PARCELA LINEAR",""
"CR5603 - AUTOMÓVEL MÉDIO 50% - R$ 70.000,00","R$ 70.000,00","106","R$ 1.201,97","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR5004 - AUTOMOVEL MÉDIO E UTILITARIO R$ 70.000,00","R$ 70.000,00","106","R$ 838,81","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR5004 - AUTOMOVEL MÉDIO E UTILITARIO R$ 70.000,00","R$ 70.000,00","106","R$ 1.532,16","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR5604 - AUTOMÓVEL MÉDIO 50% - R$ 80.000,00","R$ 80.000,00","106","R$ 1.373,69","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR5438 - AUTOMÓVEL MÉDIO 70% - R$ 80.000,00","R$ 80.000,00","106","R$ 732,17","21 - PLANO EXCLUSIVO 70%","71 - PARCELA LINEAR",""
"CR5172 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 80.000,00","R$ 80.000,00","106","R$ 958,65","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR5604 - AUTOMÓVEL MÉDIO 50% - R$ 80.000,00","R$ 80.000,00","106","R$ 581,29","40 - PLANO EXCLUSIVO 50%","71 - PARCELA LINEAR",""
"CR5172 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 80.000,00","R$ 80.000,00","106","R$ 1.751,05","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR5438 - AUTOMÓVEL MÉDIO 70% - R$ 80.000,00","R$ 80.000,00","106","R$ 1.524,65","21 - PLANO EXCLUSIVO 70%","61 - PARCELA GRADUAL",""
"CR5605 - AUTOMÓVEL MÉDIO 50% - R$ 90.000,00","R$ 90.000,00","106","R$ 1.545,40","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR5439 - AUTOMÓVEL MÉDIO 70% - R$ 90.000,00","R$ 90.000,00","106","R$ 823,69","21 - PLANO EXCLUSIVO 70%","71 - PARCELA LINEAR",""
"CR5439 - AUTOMÓVEL MÉDIO 70% - R$ 90.000,00","R$ 90.000,00","106","R$ 1.715,23","21 - PLANO EXCLUSIVO 70%","61 - PARCELA GRADUAL",""
"CR5605 - AUTOMÓVEL MÉDIO 50% - R$ 90.000,00","R$ 90.000,00","106","R$ 653,95","40 - PLANO EXCLUSIVO 50%","71 - PARCELA LINEAR",""
"CR5173 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 90.000,00","R$ 90.000,00","106","R$ 1.078,48","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR5173 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 90.000,00","R$ 90.000,00","106","R$ 1.969,93","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR5606 - AUTOMÓVEL MÉDIO 50% - R$ 100.000,00","R$ 100.000,00","106","R$ 726,61","40 - PLANO EXCLUSIVO 50%","71 - PARCELA LINEAR",""
"CR5009 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 100.000,00","R$ 100.000,00","106","R$ 1.198,31","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR5009 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 100.000,00","R$ 100.000,00","106","R$ 2.188,81","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR5606 - AUTOMÓVEL MÉDIO 50% - R$ 100.000,00","R$ 100.000,00","106","R$ 1.717,11","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR5407 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 100.000,00","R$ 100.000,00","106","R$ 1.905,81","21 - PLANO EXCLUSIVO 70%","61 - PARCELA GRADUAL",""
"CR5407 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 100.000,00","R$ 100.000,00","106","R$ 915,21","21 - PLANO EXCLUSIVO 70%","71 - PARCELA LINEAR",""
"CR5440 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 110.000,00","R$ 110.000,00","106","R$ 965,66","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
